milestone_id,pathway_id,milestone_type,milestone_status,milestone_date,date_precision,power_mw,power_measure_type,power_mw_qualifier,delivery_party,connection_event_id,fact_type,source_url,source_date,notes
PPM-JHR-004-004,PP-JHR-004,PHASE_ONE_DELIVERY,DELIVERED,2024-07-03,DAY,,NOT_FOUND,NOT_FOUND,,EVT-JHR-013,VERIFIED,https://www.mida.gov.my/mida-news/princeton-digital-delivers-phase-one-of-one-of-southeast-asias-largest-dcs-in-johor/,2024-07-04,"The delivered 52 MW is IT capacity and is deliberately excluded from power_mw."
PPM-JHR-005-001,PP-JHR-005,ESA,SIGNED,2024-12,MONTH,400,CONTRACTED_CAPACITY,EXACT,TNB,EVT-JHR-014,VERIFIED,https://www.tnb.com.my/assets/quarterly_results/Analyst_Briefing_4QFY2024_Full_Deck_with_Appendix_FINAL.pdf,,"The 400 MW quantity is recorded conservatively as contracted capacity at ESA signing, not actual delivered or energised supply."
PPM-JHR-005-002,PP-JHR-005,BESC_CRESS,SIGNED,2024-12,MONTH,100,CONTRACTED_CAPACITY,EXACT,TNB,EVT-JHR-015,VERIFIED,https://www.tnb.com.my/assets/quarterly_results/Analyst_Briefing_4QFY2024_Full_Deck_with_Appendix_FINAL.pdf,,"The separate 100 MW renewable-energy contract under CRESS is not added to the 400 MW ESA."
PPM-JHR-006-001,PP-JHR-006,LAND_ACQUISITION_SPA,SIGNED,2024-07-12,DAY,,NOT_FOUND,NOT_FOUND,,EVT-JHR-016,VERIFIED,https://www.bursamalaysia.com/market_information/announcements/company_announcement/announcement_details?ann_id=3463785,2024-07-12,"Digital Halo's original SPA was revoked and replaced by the Nanda Digital SPA on the approved prediction boundary."
PPM-JHR-006-002,PP-JHR-006,OWNERSHIP_ACQUISITION,ANNOUNCED,2025-05-13,DAY,,NOT_FOUND,NOT_FOUND,Partners Group,,VERIFIED,https://www.partnersgroup.com/en/news-and-views/press-releases/investment-news/detail?news_id=cec108f9-f5fe-445b-9f9b-2adcb7bbc95a,2025-05-13,"Partners Group announced its acquisition of Digital Halo; Digital Halo remains the operating platform and Nanda Digital remains the Johor project vehicle."
PPM-JHR-006-003,PP-JHR-006,ESA,SIGNED,2025-08,MONTH,150,CONTRACTED_CAPACITY,EXACT,TNB,EVT-JHR-017,VERIFIED,https://www.tnb.com.my/assets/quarterly_results/Analyst_Briefing_3QFY2025_Deck.pdf,,"The later 150 MW ESA is a post-boundary outcome. It is recorded as agreement capacity, not evidence of delivery or spare grid capacity."
PPM-JHR-007-001,PP-JHR-007,DATA_CENTER_PARK_ANNOUNCEMENT,ANNOUNCED,2022-04-21,DAY,,NOT_FOUND,NOT_FOUND,YTL Power,EVT-JHR-018,VERIFIED,https://www.ytl.com/press-releases/ytl-green-data-center-park-launches-in-johor-the-first-integrated-data-center-park-powered-by-renewable-solar-energy-in-malaysia-2/,2022-04-21,"This is the approved prediction boundary. The announcement supports planned solar generation but states no generation or utility-supply MW."
PPM-JHR-007-002,PP-JHR-007,PHASE_ONE_GROUNDBREAKING,STARTED,2022-08-25,DAY,,NOT_FOUND,NOT_FOUND,YTL Power,EVT-JHR-019,VERIFIED,https://www.mida.gov.my/media-release/ytl-data-centers-and-sea-break-ground-with-the-rm1-5bil-first-phase-of-the-500mw-ytl-green-data-center-park-in-johor/,,"Sea Data Center is the first phase of the same YTL park. The stated 72 MW is data-centre capacity and is not placed in power_mw."
PPM-JHR-007-003,PP-JHR-007,PHASE_ONE_OPERATION,OPERATING,2024-05,MONTH,,NOT_FOUND,NOT_FOUND,YTL Power,EVT-JHR-020,VERIFIED,https://www.ytlpowerinternational.com/wp-content/uploads/ytles/sites/2/files/annual-report/YTLPI_AR2024.pdf,2024,"YTL reports Phase One commenced operations in May 2024. This outcome does not establish grid-supply or solar-generation MW at the 2022 boundary."
PPM-JHR-008-001,PP-JHR-008,LAND_ACQUISITION_SPAS,SIGNED,2023-11-07,DAY,,NOT_FOUND,NOT_FOUND,,EVT-JHR-021,VERIFIED,https://crescendo.com.my/core-files/uploads/2024/08/CCB-Circular-Proposals-22-August-2024.pdf,2024-08-22,"STT GDC Malaysia 2 signed two SPAs for seven adjoining Nusa Cemerlang parcels; legal-vehicle identity is kept separate from STT GDC operator identity."
PPM-JHR-008-002,PP-JHR-008,POWER_DESIGN_DISCLOSURE,DESIGNED,2024-07,MONTH,,NOT_FOUND,NOT_FOUND,,EVT-JHR-022,VERIFIED,https://assets.sttelemediagdc.com/sttgdc/global_en/public/2024-07/STT_Johor_1_Factsheet_v20240719.pdf,2024-07-19,"The factsheet verifies two diverse and redundant 33 kV utility supplies as design. It does not verify ESA, energisation, supply MW, delivery party, or infrastructure timing."
PPM-JHR-008-003,PP-JHR-008,GROUNDBREAKING,STARTED,2025-02-24,DAY,,NOT_FOUND,NOT_FOUND,,EVT-JHR-023,VERIFIED,https://www.sttelemediagdc.com/my-en/newsroom/stt-gdc-breaks-ground-high-performance-computing-data-centre-campus-johor-signs-mou-talent-development,2025-02-24,"Groundbreaking is a post-boundary construction outcome and is not used in the July 2024 ex-ante pathway."
PPM-JHR-004-005,PP-JHR-004,ESA,SIGNED,2024-07-03,DAY,,NOT_FOUND,NOT_FOUND,TNB,EVT-JHR-024,VERIFIED,https://princetondg.com/newsroom/princeton-digital-group-delivers-phase-one-of-its-150mw-ai-ready-jh1-campus-in-sedenak-tech-park-johor/,2024-07-03,"This separate campus-wide ESA follows the 2023-10-16 Phase One ESA and the successful energisation of Phase One. PDG describes ESA coverage of the entire JH1 campus, but no authoritative electrical MW or MVA quantity or measure type is disclosed."
