event_id,project_id,event_date,date_precision,event_type,voltage_kv,supply_mw,interim_or_permanent,grid_operator,infrastructure_name,contractor,source_url,fact_type,notes
EVT-JHR-010,DC-JHR-004,2023-05-22,DAY,LAND_ACQUISITION_AGREEMENT,,,PLANNING,,,,https://princetondg.com/newsroom/princeton-digital-group-acquires-land-from-jland-group-to-develop-a-150mw-data-centre-campus-in-malaysia/,VERIFIED,"PDG entered a definitive agreement to acquire 31 acres in Sedenak Tech Park for JH1. The announced 150 MW is data-centre capacity, not electricity supply."
EVT-JHR-011,DC-JHR-004,2023-10-16,DAY,ESA_SIGNED,,,PERMANENT,TNB,,,https://princetondg.com/newsroom/princeton-digital-group-commences-superstructure-construction-of-150-mw-jh1-campus-2/,VERIFIED,"PDG disclosed an ESA with TNB to power JH1 Phase One from the first half of 2024. The source does not state an electrical-supply MW quantity."
EVT-JHR-012,DC-JHR-004,2024-03,MONTH,UTILITY_SUPPLY_COMMISSIONED,132,,PERMANENT,TNB,JH1 132kV supply connection,,https://www.tnb.com.my/assets/quarterly_results/Analyst_Briefing_1QFY2024.pdf,VERIFIED,"TNB records the PDG data centre as commissioned at 132 kV supply in March 2024 under the Green Lane Pathway. No supply MW is assigned."
EVT-JHR-013,DC-JHR-004,2024-07-03,DAY,PHASE_ONE_DELIVERED,,,PHASE,,,,https://www.mida.gov.my/mida-news/princeton-digital-delivers-phase-one-of-one-of-southeast-asias-largest-dcs-in-johor/,VERIFIED,"Phase One was delivered with 52 MW of IT capacity. The 52 MW is not entered as electricity supply."
EVT-JHR-014,DC-JHR-005,2024-12,MONTH,ESA_SIGNED,,400,PERMANENT,TNB,,,https://www.tnb.com.my/assets/quarterly_results/Analyst_Briefing_4QFY2024_Full_Deck_with_Appendix_FINAL.pdf,VERIFIED,"TNB records a 400 MW ESA with Bridge Data Centres. This agreement quantity is not evidence of actual energisation or spare grid capacity."
EVT-JHR-015,DC-JHR-005,2024-12,MONTH,BESC_CRESS_SIGNED,,100,RENEWABLE_CONTRACT,TNB,,,https://www.tnb.com.my/assets/quarterly_results/Analyst_Briefing_4QFY2024_Full_Deck_with_Appendix_FINAL.pdf,VERIFIED,"TNB separately records a 100 MW Bilateral Energy Supply Contract under CRESS. It must not be added to the 400 MW ESA quantity."
EVT-JHR-016,DC-JHR-006,2024-06-11,DAY,LAND_ACQUISITION_SPA,,,PLANNING,,,,https://www.bursamalaysia.com/market_information/announcements/company_announcement/announcement_details?ann_id=3455222,VERIFIED,"Panoramic Industrial Development Sdn Bhd entered a conditional SPA with Digital Halo Pte Ltd on 11 June 2024 for H.S.(D) 629092 / PTD 227197. Digital Halo was defined to include a nominee. This executed site-specific agreement is the earliest verified binding site commitment; no power quantity or grid work is inferred."
EVT-JHR-026,DC-JHR-006,2024-07-12,DAY,REPLACEMENT_LAND_ACQUISITION_SPA,,,PLANNING,,,,https://www.bursamalaysia.com/market_information/announcements/company_announcement/announcement_details?ann_id=3463785,VERIFIED,"At Digital Halo's request, PID and Digital Halo executed a Deed of Revocation for the 11 June Initial SPA and PID concurrently entered a substitute conditional SPA with Digital Halo's wholly owned project vehicle Nanda Digital. The replacement preserves project continuity but does not reset the earliest site-commitment boundary."
EVT-JHR-017,DC-JHR-006,2025-08,MONTH,ESA_SIGNED,,150,PERMANENT,TNB,,,https://www.tnb.com.my/assets/quarterly_results/Analyst_Briefing_3QFY2025_Deck.pdf,VERIFIED,"TNB records a 150 MW ESA for Digital Halo (Nanda Digital). This is a post-boundary outcome and not an ex-ante input for June 2024."
EVT-JHR-018,DC-JHR-007,2022-04-21,DAY,DATA_CENTER_PARK_ANNOUNCED,,,PLANNING,YTL Power,Planned on-site renewable solar generation,,https://www.ytl.com/press-releases/ytl-green-data-center-park-launches-in-johor-the-first-integrated-data-center-park-powered-by-renewable-solar-energy-in-malaysia-2/,VERIFIED,"YTL announced the 500 MW data-centre campus and first 72 MW data-centre phase as a solar-powered integrated park. Neither number is entered as electrical supply or generation capacity."
EVT-JHR-019,DC-JHR-007,2022-08-25,DAY,PHASE_ONE_GROUNDBREAKING,,,CONSTRUCTION,YTL Power,,,https://www.mida.gov.my/media-release/ytl-data-centers-and-sea-break-ground-with-the-rm1-5bil-first-phase-of-the-500mw-ytl-green-data-center-park-in-johor/,VERIFIED,"YTL and Sea broke ground on the 72 MW data-centre first phase. The 72 MW is IT/data-centre capacity, not electricity supply."
EVT-JHR-020,DC-JHR-007,2024-05,MONTH,PHASE_ONE_OPERATION_STARTED,,,PHASE,YTL Power,,,https://www.ytlpowerinternational.com/wp-content/uploads/ytles/sites/2/files/annual-report/YTLPI_AR2024.pdf,VERIFIED,"YTL reports that the first phase commenced operations in May 2024. No electrical-supply MW or solar-generation MW is inferred from this outcome."
EVT-JHR-021,DC-JHR-008,2023-11-07,DAY,LAND_ACQUISITION_SPAS,,,PLANNING,,,,https://crescendo.com.my/core-files/uploads/2024/08/CCB-Circular-Proposals-22-August-2024.pdf,VERIFIED,"Crescendo records two SPAs with STT GDC Malaysia 2 for seven adjoining parcels in Nusa Cemerlang Industrial Park; the sales completed in April and June 2024."
EVT-JHR-022,DC-JHR-008,2024-07,MONTH,POWER_DESIGN_DISCLOSED,33,,PLANNED,,Two diverse and redundant 33kV utility supplies,,https://assets.sttelemediagdc.com/sttgdc/global_en/public/2024-07/STT_Johor_1_Factsheet_v20240719.pdf,VERIFIED,"The July 2024 factsheet verifies the design, not energisation, supply MW, ESA status, or whether the utility feeds were pre-existing or project-enabled."
EVT-JHR-023,DC-JHR-008,2025-02-24,DAY,GROUNDBREAKING,,,CONSTRUCTION,,,,https://www.sttelemediagdc.com/my-en/newsroom/stt-gdc-breaks-ground-high-performance-computing-data-centre-campus-johor-signs-mou-talent-development,VERIFIED,"STT GDC broke ground on STT Johor 1 after the July 2024 prediction boundary."
EVT-JHR-024,DC-JHR-004,2024-07-03,DAY,ESA_SIGNED,,,PERMANENT,TNB,,,https://princetondg.com/newsroom/princeton-digital-group-delivers-phase-one-of-its-150mw-ai-ready-jh1-campus-in-sedenak-tech-park-johor/,VERIFIED,"PDG disclosed a separate campus-wide ESA with TNB at the JH1 Phase One delivery, following the 2023-10-16 Phase One ESA. The source describes coverage of the entire campus but does not disclose an electrical-supply, maximum-demand, contracted-capacity, connection-capacity, or MVA quantity."
